lemot,lambat
sperti,seperti
sby,surabaya
suroboyo,surabaya
mudh,mudah
hrs,harus
nmun,namun
kalo,kalau
ngejar,kejar
dah,ya
moderen,modern
bozzz,bos
kekuragannya,kurang
nan,dan
thanks you very much,terima kasih
stiap,setiap
sampek,sampai
karna,karena
jd,jadi
jdi,jadi
ngambil,ambil
iso,bisa
yo,ya
opoo,apa
iki,ini
pdhal,padahal
wes,sudah
tk,saya
update ,baru
log in,masuk
login,masuk
kyk,seperti
gini,ini
mantul,mantap
epride,setiap hari
walo,walau
jdwal,jadwal
nyantol,hubung
skiranya,sekiranya
pas,ketika
automatis,otomatis
lelet,lambat
sat set,cepat
y,nya
hape,handphone
uninstal,hapus
icon,ikon
management,manajemen
jos,bagus
ngepul,kumpul
bwt,untuk
skrg,sekarang
ok,oke
map,maps
pelancong,pendatang
download,unduh
kliatan,lihat
krn,karena
dmana,dimana
nunggu,tunggu
brngkat,berangkat
lgi,lagi
lg,lagi
siiippp,oke
sip,oke
jln,jalan
bru,baru
sprti,seperti
kryawan,karyawan
ato,atau
gimana,bagaimana
sya,saya
ngmong,bicara
tlp,telepon
tf,transfer
sbelum,sebelum
perjlnan,jalan
tlong,tolong
msalah,masalah
org,orang
nurunin,turun
lbh,lebih
very good,sangat bagus
up to date,terbaru
taxi,taksi
nice,bagus
mantab,mantap
top,top
koq,kok
smpek,sampai
mn,mana
mestiiii kebablasen,pasti terlewat
pernh,pernah
omg,bilang
nympek,sampai
eror,error
paswoord,password
gajelas,tidak jelas
tsb,tersebut
thanks,terima kasih
nukerin,tukar
cakep bgt,bagus
ampas,sampah
arek,orang
seng,yang
nakes,tenaga kesehatan
transfot,transportasi
trakasih,terima kasih
applikasinya,aplikasi
search,cari
ntar,nanti
biza,bisa
gmn,bagaimana
menber,member
asyiikkk,asyik
sy,saya
yo,ya
opo,apa
onok,ada
banget,sekali
pengen,ingin
ta,kah
ditriakin,teriak
gw,saya
ttep,tetap
Burukkkk,buruk
makasih,terima kasih
yeayyyyy,oke
botolx,botol
terbaikk,terbaik
refres,muat ulang
geprek,sekali
kerene,keren
apknya,aplikasi
siip,oke
dm,pesan
ig,instagram
mantaaap,mantap
apik,bagus
ikhi,ini
ngerti,paham
cucok,cocok
pls,tolong
hmm,ya
senan,senang
itimewa,istimewa
sipp,oke
berkali kali,sering
dalan ,dalam
angkot,angkutan kota
angkotan ,angkutan
ksh,kasih
min,admin
kesuweeeeeennnnn,sedih
ngasih,kasih
apps,aplikasi
gt,gitu
uda,sudah
connect,terhubung
non,tidak
bsa,bisa
bussuroboyo,bus suroboyo
sayamg,sayang
jos,bagus
teros,terus
tak ,saya
jwdl,jadwal
tlog,tolong
nampil,tampil
singkron,sinkron
maneh,lagi
rodok,agak
karo,dengan
dibebepara,beberapa
card,kartu
gag,tidak
wess,sudah
kerennnnnnn,keren
lbh,lebih
mantappppppp,mantap
pake bangettttt,sekali
males,malas
bikin,buat
baguss,bagus
lama banget,lama sekali
gaada,tidak ada
tetep,tetap
tgu,tunggu
hr,hari
service,pelayanan
kemaleman,malam
suport,dukung
gmaps,google maps
kalu,kalau
balek,balik
markotop,sekali
nggak,tidak
lolokasi,lokasi
stlh,setelah
lrbih,lebih
bravo,bagus
go bis,gobis
gobissurabaya,gobis surabaya
amazing,luar biasa
cm,hanya
denqan,dengan
kehilanqan,kehilangan
onqkos,ongkos
cucuk,cucu
nunqqu,tunggu
sl,selalu
donload,unduh
doang,hanya
apl,aplikasi
asyiiiik,asyik
sdh,sudah
tmbh,tambah
gbu,diberkati
br,baru
instal,install
paketan,paket
idea,ide
bagusssss,bagus
pp,pulang pergi
pling,paling
n,dan
bar,baru
mantaapp,mantap
stand by,bersiap
gaaaalllllaaaaaakkkkkkk,galak
bgs,bagus
kao,kalau
msu,masih
ko gk da,kok tidak ada
1w,satu jalan
speed,kecepatan
blm,belum
bisnya,bis nya
cobak,coba
sebenerrnya,sebenarnya
cintaaaah sekaliii,cinta sekali
Siiiippppp,oke
mantabz,mantap
memuaskam,memuaskan
krng,kurang
tmpt,tempat
tlng,tolong
puasss,puas
gaakk,tidak
kaliya,mungkin
pelayann,pelayan
tkq,terima kasih
rapih,rapi
lk,kalau
bu,ibu
lenapa,kenapa
mentang,karena
adem,sejuk
katajya cuna,hanya
setengaj,setengah
ngetem,berhenti
the,yang
ngecek,cek
takhir,terakhir
pke,pakai
inet,internet
siip,oke
ok lah y,oke
ben,ya
lan,nya
im,saya
really,sangat
love,cinta 
because,karena
best,terbaik
e,nya
koyok,seperti
telek,kotor
blas,sekali
max,maksimal
always,selalu
apik ,bagus
ngenteni,tunggu
geogel,google
nao,nya
bnyk,banyak
ntk,nanti
loom,belum
mlm,malam
asa,rasa
adeemmm,sejuk
nyobain,coba
gob,gobis
maturnuwun,terima kasih
alhasil,hasil
diintefikasi,identifikasi
dipesan,pesan
gobiz,gobis
very,sangat
pembaharuan,baru
pengemudinya,supir
poll,banget
dlu,dulu
mestiiii,pasti
kebablasen,lewat
oper,pindah
helper,bantu
sepekan,pekan
nyang,yang
belom,belum
mkstnya,maksud
pake,pakai
dg,dengan
bgt,banget
cakep,bagus
tranfot,transportasi
tlg,tolong
mutermuter,berputar
tok,saja
pnya,punya
dng,dan
memuaskan,puas
mbantu,bantu
yukk,ayo
rekkkkk,teman
recommended ,rekomendasi
srby,surabaya
mksh,terima kasih
dech,deh
maks,maksimal
jml,jumlah
dinformasikan,informasi
zonk,kosong
bad,buruk
diseen,dilihat
burukkkk,buruk
ko,kok
gpsnya,gps
diperbaikin ,diperbaiki
joss,bantu
kayak,seperti
habia,habis
puooolll,banget
lyn,layan
kepingin,ingin
srh,suruh
lamaaa,lama
appsnya,aplikasi
sugnup,masuk
pol,banget
berasa,rasa
th,tahu
liat,lihat
bes,bus
gbr,gambar
terimakasih,terima kasih
tingkatkn,tingkat
msknya,masuk
tambahin,tambah
prjlnan,jalan
siiiippppp,oke
cintaaaah,cinta
sekaliii,sekali
mmg,memang
drpd,daripada
kyak,seperti
mempermhdah,mudah
tpi,tapi
diperbakkk,perbaiki
gituuu,gitu
sm,sama
bagussan,bagus
dlu,dulu
ntaaap,mantap
dgn,dengan
krg,kurang
bangeeet,banget
mapny,maps
kalk,kalau
sub,surabaya
brmanfaat,manfaat
akungkutan,angkutan
skli,sekali
serelah,setelah
lulqng,pulang
bny,banyak
sippp,oke
seneeeng,senang
smoga,semoga
spt,seperti
jauhh,jauh
mantapp,mantap
membantuu,membantu
gmna,bagaimana
ndk,tidak
sedihhh,sedih
jiadi,jadi
favorid,favorit
cb,coba
penumpng,penumpang
keberngktan,angkat
kl,kalau
lbih,lebih
mmng,memang
espektasi,ekspektasi
bangettt,banget
bangettttt,banget
nunggunya ,tunggu
aplikasih,aplikasi
dibenerin,benar
brangkat,angkat
googpe,google
ngoomong,ngomong
dijak,ajak
kene,di
gowo,sini
yolek,ya
sakno,kata
pencet ,tekan
soroboyobus,suroboyo bus
aslisurabaya ,asli surabaya
hub,hubung
smakin,semakin
surabayaq,surabaya
amgkutan,angkut
belup,belum
memuaskan,puas
angkotan,angkut
ditumpaisampai,tumpang sampai
aplikasisurabaya,aplikasi surabaya
